OBJ,RA,DEC,PETROR50_R,PETROR90_R,PETROMAG_U,PETROMAG_G,PETROMAG_R,PETROMAG_I,PETROMAG_Z,PETROMAGERR_U,PETROMAGERR_G,PETROMAGERR_R,PETROMAGERR_I,PETROMAGERR_Z,PSFMAG_R,FIBERMAG_R,DEVMAG_R,DEVMAGERR_R,EXPMAG_R,EXPMAGERR_R,FRACDEV_R,MU50_R,EXTINCTION_U,EXTINCTION_G,EXTINCTION_R,EXTINCTION_I,EXTINCTION_Z,CMODELMAG_R,CMODELMAGERR_R,REDSHIFT,REDSHIFTERR,PETROMAG_MU,PETROMAG_MG,PETROMAG_MR,PETROMAG_MI,PETROMAG_MZ,PETROMAGERR_MU,PETROMAGERR_MG,PETROMAGERR_MR,PETROMAGERR_MI,PETROMAGERR_MZ,PETROR50_R_KPC,color_new,Morphology,Uncertain,Elliptical,Spiral
154,170.80557936,-1.18214647,4.4866624,10.670979,19.361341,17.737705,16.935238,16.445162,16.151276,0.19574116,0.02431976,0.020255938,0.015713777,0.051017046,18.817762,19.1652,16.512129,0.0063815275,16.877007,0.0062497137,0.049165048,22.19030445729908,0.2906059,0.21382506,0.15508378,0.11759533,0.08337656,16.85589150170509,0.0058438828627863,0.0842651,0.000154589,-19.438183,-20.899754,-21.566618,-21.895903,-22.13827,0.08295735,0.016296417,0.013468414,0.01412059,0.024162583,4.1962385,0.802467,0,1,0,0
27,170.94589233398438,-1.108325481414795,13.407897,26.012415,31.566551,37.95281,14.8457,35.954224,29.191177,0.87325853,0.0041623465,0.4049168,0.01049201,1.3442456,19.32424,18.832224,14.778216,0.0067303116,14.747314,0.00568355,0.0,22.47795295715332,0.27526847,0.20253992,0.14689885,0.11138894,0.078976154,14.747314453125,0.005683550145477,0.0842651,0.000154589,-19.438183,-20.899754,-21.566618,-21.895903,-22.13827,0.08295735,0.016296417,0.013468414,0.01412059,0.024162583,4.1962385,23.10711,0,1,0,0
35,171.99093627929688,-1.2140086889266968,8.175695,15.858483,17.994175,16.808289,15.780492,15.409781,15.245371,0.1105971,0.16987352,0.13094957,0.18695001,0.22637391,18.869692,19.043655,15.411717,0.0050863284,15.781788,0.004698809,0.0,22.338565826416016,0.1582195,0.11641641,0.08443489,0.06402442,0.04539411,15.781787872314451,0.0046988087706267,0.0842651,0.000154589,-19.438183,-20.899754,-21.566618,-21.895903,-22.13827,0.08295735,0.016296417,0.013468414,0.01412059,0.024162583,4.1962385,1.0277969999999979,0,1,0,0
101,177.63185812,-1.10512592,2.9290652,8.661545,20.127234,18.12968,16.82324,16.327341,15.979728,0.26424018,0.024124827,0.012380387,0.011124885,0.023905965,17.903091,18.313223,16.777206,0.0051233876,17.093615,0.0052547287,1.0,21.15233511354636,0.11690909,0.0860206,0.06238931,0.047307927,0.03354191,16.77720639842114,0.0051233875218457,0.0842651,0.000154589,-19.438183,-20.899754,-21.566618,-21.895903,-22.13827,0.08295735,0.016296417,0.013468414,0.01412059,0.024162583,4.1962385,1.306440000000002,1,0,1,0
94,182.92526245117188,-1.0923570394515991,2.6956313,7.912694,19.045778,17.276037,16.401808,15.985344,15.641546,0.08913734,0.013505071,0.009515798,0.009825508,0.017251503,17.598064,17.862183,16.25461,0.003931712,16.570107,0.004046616,1.0,20.5505599975586,0.11057555,0.08136044,0.059009373,0.04474502,0.031724777,16.254610061645508,0.0039317118935287,0.0779091,0.000176395,-19.111973,-20.75,-21.49561,-21.837368,-22.1536,0.09135832,0.016804384,0.013804003,0.0140192965,0.019940322,3.973422,0.8742289999999997,1,0,1,0
123,182.97010803222656,-1.2195372581481934,3.3463464,8.527256,18.523798,16.716784,15.851948,15.433319,15.155713,0.06490635,0.007827768,0.0054410677,0.005966926,0.012366084,17.337156,17.615194,15.649923,0.0031873856,15.9563465,0.0032243573,0.6799251,20.470251083374023,0.11562578,0.08507635,0.061704464,0.04678863,0.03317372,15.738926887512209,0.0024994052946567,0.063221,0.000174361,-19.113869,-20.799835,-21.546196,-21.9156,-22.151482,0.06791915,0.012699371,0.011384429,0.011644922,0.015903475,4.071972,0.8648360000000004,1,0,1,0
141,183.02862215,-1.07270517,2.5890222,6.0593414,18.53496,17.447456,16.872526,16.458296,16.351671,0.051412217,0.010903194,0.00843292,0.00902142,0.02742843,18.193907,18.413908,16.537989,0.005033515,16.894451,0.005025837,0.46485722,20.93365462463792,0.11652009,0.085734375,0.062181722,0.04715052,0.033430304,16.714143459909607,0.0035725304211548,0.114482,0.000979407,-20.409996,-21.438896,-21.929401,-22.116467,-22.309475,0.055166375,0.014794593,0.013081065,0.013467969,0.02919482,5.3767204,0.5749299999999984,0,1,0,0
80,183.43809509277344,-1.23841392993927,3.8604,11.598755,19.545845,18.084808,17.035507,16.463684,15.881419,0.22170047,0.032795064,0.01757011,0.01687428,0.034761548,18.329506,18.704884,17.065342,0.0065789637,17.54316,0.0068190377,1.0,21.96411895751953,0.10655905,0.07840514,0.05686595,0.04311973,0.030572424,17.06534194946289,0.006578963715583,0.17831,0.000172564,-20.590311,-22.180058,-23.041471,-23.48868,-24.026829,0.22263159,0.034285933,0.020216566,0.019614838,0.03617151,11.6280575,1.0493009999999998,1,0,1,0
137,183.4739990234375,-1.2314292192459106,4.1342072,10.66237,17.893192,16.731045,16.14635,15.823566,15.673439,0.0434136,0.0088927,0.008539926,0.007983192,0.023163952,17.737572,18.167988,15.852689,0.0039432887,16.241053,0.003993777,0.6683415,21.22376251220703,0.1032594,0.07597729,0.055105064,0.041784503,0.029625732,15.96676254272461,0.0031029675155878,0.0819582,8.43951e-05,-20.245668,-21.325148,-21.832687,-22.027914,-22.187904,0.04779923,0.013382084,0.0131503,0.0127957575,0.025230393,6.380539,0.584695,0,1,0,0
140,183.477783203125,-1.0846035480499268,2.4858344,8.024713,19.621298,17.698683,16.681322,16.258665,16.043146,0.14455491,0.015939532,0.012756052,0.012710147,0.022538409,17.586569,17.971476,16.651474,0.0045066467,16.962996,0.004636709,1.0,20.65413284301757,0.10527439,0.077459894,0.056180377,0.042599875,0.030203843,16.651473999023438,0.0045066466554999,0.100068,0.000164286,-19.19717,-21.005907,-21.798138,-22.170485,-22.317026,0.14595494,0.01881674,0.01620855,0.016172446,0.024657397,4.587372,1.0173609999999975,1,0,1,0
176,183.5261993408203,-1.1640113592147827,2.1048462,5.7707243,19.072803,17.28018,16.387096,15.966585,15.686735,0.073882535,0.010558872,0.00914648,0.010028471,0.013562835,17.137772,17.54579,16.301966,0.0037426315,16.47205,0.0037994548,0.981832,19.998647689819336,0.09739798,0.07166451,0.051977083,0.039412647,0.027944058,16.30483055114746,0.0036848164163529,0.070564,0.000171014,-18.821682,-20.495382,-21.2574,-21.631039,-21.869694,0.076545924,0.014542696,0.013552055,0.014162286,0.016850872,2.8342597,0.8930840000000018,1,0,1,0
